0|8.4 • Offline|8.4 • بدون إنترنت
1|1  Select     •     2  Connect     •     3  Transfer|١  الاختيار     •     ٢  الاتصال     •     ٣  النقل
2|OK|حسنًا
3|Transfer your data|انقل بياناتك
4|Move from your old phone to your new phone in a few simple steps.|انقل بياناتك من هاتفك القديم إلى الجديد بخطوات بسيطة.
5|Old phone|الهاتف القديم
6|Send data from this phone|إرسال البيانات من هذا الهاتف
7|New phone|الهاتف الجديد
8|Receive data on this phone|استقبال البيانات على هذا الهاتف
9|Hotspot or cable • No SIM or internet needed|نقطة اتصال أو كابل • دون شريحة أو إنترنت
10|Receive via USB-C|الاستقبال عبر USB-C
11|What can I transfer?|ما الذي يمكن نقله؟
12|Supported data|البيانات المدعومة
13|Photos, videos, audio, files, apps and contacts as VCF. SMS and call history are transferred as backup files, not restored into Phone or Messages.\n\nPrivate app data, WhatsApp data, accounts and settings are not transferred. Update both phones.|الصور والفيديو والصوت والملفات والتطبيقات وجهات الاتصال بصيغة VCF. تُنقل الرسائل وسجل المكالمات كملفات احتياطية ولا تُستعاد داخل الهاتف أو الرسائل.\n\nلا تُنقل بيانات التطبيقات الخاصة أو واتساب أو الحسابات أو الإعدادات. حدّث التطبيق على الهاتفين.
14|What would you like to send?|ماذا تريد أن ترسل؟
15|Choose a category or select files manually.|اختر فئة أو حدد الملفات يدويًا.
16|Photos|الصور
17|All photos you have allowed access to|جميع الصور التي سمحت بالوصول إليها
18|Videos|الفيديو
19|Videos on this phone|مقاطع الفيديو على هذا الهاتف
20|Audio and music|الصوت والموسيقى
21|Audio files|الملفات الصوتية
22|Apps (APK)|التطبيقات (APK)
23|Select app APKs to send and install|اختر APK للتطبيقات لإرسالها وتثبيتها
24|Contacts|جهات الاتصال
25|Names and numbers in a VCF file|الأسماء والأرقام في ملف VCF
26|Files|الملفات
27|Select manually|حدد يدويًا
28|Continue  →|متابعة  ←
29|Back|رجوع
30|Tap SMS or recent calls to select all available records. Tap again to clear. Apps and contacts offer individual selection.|اضغط على الرسائل أو المكالمات الأخيرة لتحديد كل السجلات المتاحة. اضغط مجددًا لإلغاء التحديد. يمكن اختيار التطبيقات وجهات الاتصال بشكل فردي.
31| files • | ملفات • 
32| + unknown size| + حجم غير معروف
33|Loading app list|جارٍ تحميل قائمة التطبيقات
34|No suitable apps found.|لم يتم العثور على تطبيقات مناسبة.
35|Select apps — installation files only|حدد التطبيقات — ملفات التثبيت فقط
36|Add|إضافة
37|App list|قائمة التطبيقات
38|Preparing selected apps|جارٍ تجهيز التطبيقات المحددة
39|Some apps could not be prepared|تعذر تجهيز بعض التطبيقات
40|These app files were unavailable, or storage was insufficient:\n|ملفات هذه التطبيقات غير متاحة أو مساحة التخزين غير كافية:\n
41|Permission required|الإذن مطلوب
42|Automatic hotspot setup needs Wi-Fi permission. You can also turn on the hotspot manually.|يتطلب إعداد نقطة الاتصال تلقائيًا إذن Wi-Fi. يمكنك تشغيلها يدويًا أيضًا.
43|You can choose a QR image or paste the pairing code.|يمكنك اختيار صورة QR أو لصق رمز الاقتران.
44|Permission denied. You can use Files instead.|لم يُمنح الإذن. يمكنك استخدام الملفات بدلًا من ذلك.
45|Please wait…|يرجى الانتظار…
46|Preparing data|جارٍ تجهيز البيانات
47|No accessible data found.|لم يتم العثور على بيانات يمكن الوصول إليها.
48|Only the photos and videos you allowed were added.|أُضيفت فقط الصور ومقاطع الفيديو التي سمحت بالوصول إليها.
49|Could not prepare data|تعذر تجهيز البيانات
50|Select some data first.|حدد البيانات أولًا.
51|Send up to 10,000 files per transfer.|يمكن إرسال ما يصل إلى 10,000 ملف في كل عملية نقل.
52|Connect to the new phone|اتصل بالهاتف الجديد
53|1. Tap New phone on the receiving phone.\n2. Scan its QR code.\n3. Accept the Android connection request.\n\nNo SIM, mobile data or internet is needed.|١. اضغط على الهاتف الجديد في هاتف الاستقبال.\n٢. امسح رمز QR الظاهر عليه.\n٣. وافق على طلب الاتصال من أندرويد.\n\nلا تحتاج إلى شريحة أو بيانات هاتف أو إنترنت.
54|Scan QR — Wi-Fi|مسح QR — Wi-Fi
55|Send via USB-C cable|الإرسال عبر كابل USB-C
56|Choose QR image|اختيار صورة QR
57|Back to data selection|العودة لاختيار البيانات
58|Alternative: paste pairing code|طريقة بديلة: لصق رمز الاقتران
59|Paste pairing code|الصق رمز الاقتران
60|Connect|اتصال
61|Cancel|إلغاء
62|Invalid QR code|رمز QR غير صالح
63|Scan the QR code inside rebaritclone on the new phone. Update the app on both phones.|امسح رمز QR داخل rebaritclone على الهاتف الجديد. حدّث التطبيق على الهاتفين.
64|Connecting to hotspot|جارٍ الاتصال بنقطة الاتصال
65|Accept the Android connection request. This network does not provide or require internet.|وافق على طلب الاتصال من أندرويد. هذه الشبكة لا توفر الإنترنت ولا تحتاج إليه.
66|Connect manually|الاتصال يدويًا
67|Join the hotspot|اتصل بنقطة الاتصال
68|In Wi-Fi settings, select the new phone's hotspot. Stay connected if Android says No internet.|في إعدادات Wi-Fi، اختر نقطة اتصال الهاتف الجديد. ابقَ متصلًا إذا ظهرت عبارة لا يوجد إنترنت.
69|Hotspot name: |اسم نقطة الاتصال: 
70|Password: |كلمة المرور: 
71|Open Wi-Fi settings|فتح إعدادات Wi-Fi
72|Connected — Send|تم الاتصال — إرسال
73|Connect to the new phone's hotspot first.|اتصل بنقطة اتصال الهاتف الجديد أولًا.
74|Creating hotspot|جارٍ إنشاء نقطة الاتصال
75|A local hotspot for offline transfer.|نقطة اتصال محلية للنقل دون إنترنت.
76|5 GHz unavailable|تعذر تشغيل 5 GHz
77|Hotspot unavailable|تعذر تشغيل نقطة الاتصال
78|Retry or choose another method. Both phones must support 5 GHz.|أعد المحاولة أو اختر طريقة أخرى. يجب أن يدعم الهاتفان نطاق 5 GHz.
79|Retry|إعادة المحاولة
80|Continue with a standard hotspot|المتابعة بنقطة اتصال عادية
81|Set up a 5 GHz hotspot manually|إعداد نقطة اتصال 5 GHz يدويًا
82|Receive via USB-C|الاستقبال عبر USB-C
83|Turn on the hotspot manually|شغّل نقطة الاتصال يدويًا
84|Automatic hotspot setup failed on this phone. Enable it in Settings; mobile data is not needed. Older Android versions may also require Location to be on.|تعذر إعداد نقطة الاتصال تلقائيًا على هذا الهاتف. شغّلها من الإعدادات؛ لا تحتاج إلى بيانات الهاتف. قد تتطلب إصدارات أندرويد القديمة تشغيل الموقع أيضًا.
85|Automatic connection error: |سبب فشل الاتصال التلقائي: 
86|Hotspot settings|إعدادات نقطة الاتصال
87|Enabled — Show QR|تم التشغيل — عرض QR
88|Connect the old phone to this hotspot using Wi-Fi, then scan the QR code. For higher speed, choose 5 GHz if both phones support it.|اتصل بهذه النقطة من الهاتف القديم عبر Wi-Fi، ثم امسح QR. لسرعة أعلى، اختر 5 GHz إذا كان الهاتفان يدعمانه.
89|Reading QR code|جارٍ قراءة رمز QR
90|Could not read QR code|تعذرت قراءة رمز QR
91|Choose a clear image of the QR code shown in the app.|اختر صورة واضحة لرمز QR الظاهر في التطبيق.
92|Transfer by cable|النقل بالكابل
93|Connect both phones with a USB-C cable that supports data transfer.|صل الهاتفين بكابل USB-C يدعم نقل البيانات.
94|On the new phone, select USB controlled by → This device, or enable OTG. On the old phone, choose Send via USB-C cable.|على الهاتف الجديد، اختر التحكم في USB ← هذا الجهاز أو شغّل OTG. على الهاتف القديم، اختر الإرسال عبر كابل USB-C.
95|On the new phone, choose Receive via USB-C cable. Accept the USB permission requests on both phones.|على الهاتف الجديد، اختر الاستقبال عبر كابل USB-C. وافق على طلبات إذن USB على الهاتفين.
96|Experimental • Requires USB Host and Accessory support. USB debugging is not needed. If no device is found, choose USB / File transfer on the old phone and retry.|تجريبي • يتطلب دعم USB Host وAccessory. لا يحتاج إلى تصحيح أخطاء USB. إذا لم يُعثر على الجهاز، اختر USB / نقل الملفات على الهاتف القديم وأعد المحاولة.
97|Waiting for cable and USB permission…|بانتظار الكابل وإذن USB…
98|USB connection failed|فشل اتصال USB
99|Transfer via hotspot|النقل عبر نقطة الاتصال
100|No SIM or internet needed. The old phone connects to this phone's hotspot.|لا تحتاج إلى شريحة أو إنترنت. يتصل الهاتف القديم بنقطة اتصال هذا الهاتف.
101|Start hotspot|تشغيل نقطة الاتصال
102|Receive via USB-C cable|الاستقبال عبر كابل USB-C
103|Set up hotspot manually|إعداد نقطة الاتصال يدويًا
104|You can transfer files with mobile data turned off or without a SIM.|يمكنك نقل الملفات مع إيقاف بيانات الهاتف أو دون شريحة.
105|Scan this QR code|امسح رمز QR هذا
106|Tap Scan QR on the old phone.|اضغط على مسح QR في الهاتف القديم.
107|QR code to connect the old phone|رمز QR لربط الهاتف القديم
108|Waiting for the old phone…|بانتظار الهاتف القديم…
109|Ultra Fast / Wi-Fi Direct|فائق السرعة / Wi-Fi Direct
110|\nThe strongest band supported by both phones and Android is chosen automatically.|\nيُختار تلقائياً أقوى نطاق يدعمه الهاتفان ونظام Android.
111|Stop|إيقاف
112|Copy pairing code|نسخ رمز الاقتران
113|Copied. Use it only on your own phone.|تم النسخ. استخدمه على هاتفك فقط.
114|Sending your data|جارٍ إرسال بياناتك
115|Receiving your data|جارٍ استقبال بياناتك
116|Keep both apps open until the transfer finishes.|أبقِ التطبيق مفتوحًا على الهاتفين حتى يكتمل النقل.
117|USB-C • Direct transfer|USB-C • نقل مباشر
118|0%|٠٪
119|Connecting…|جارٍ الاتصال…
120|Preparing file counts and sizes…|جارٍ تجهيز أعداد الملفات وأحجامها…
121|Stop transfer|إيقاف النقل
122|Stop this transfer?|هل تريد إيقاف النقل؟
123|Completed files will be kept.|ستبقى الملفات المكتملة محفوظة.
124|Continue|متابعة
125|Done!|تم!
126|Transfer incomplete|لم يكتمل النقل
127| files completed| ملفات مكتملة
128|Original files on the old phone are not deleted.|لا تُحذف الملفات الأصلية من الهاتف القديم.
129|Install received apps|تثبيت التطبيقات المستلمة
130|Photos and videos are in Gallery; other files are in Downloads / rebaritclone.|الصور والفيديو في المعرض؛ والملفات الأخرى في Downloads / rebaritclone.
131|Files were saved in the selected folder.|حُفظت الملفات في المجلد المحدد.
132|Import contacts|استيراد جهات الاتصال
133|Back to home|العودة للرئيسية
134|Resume interrupted transfer|استئناف النقل المنقطع
135|Keep the same files selected. If the network disconnected, scan a new QR code. Do not close the apps.|أبقِ الملفات نفسها محددة. إذا انقطعت الشبكة، امسح رمز QR جديدًا. لا تغلق التطبيقين.
136|In Contacts, choose Import and open the received contacts.vcf file.|في تطبيق جهات الاتصال، اختر استيراد وافتح ملف contacts.vcf المستلم.
137|0 seconds|٠ ثانية
138|Estimating…|جارٍ التقدير…
139| h and | ساعة و
140| min| دقيقة
141| min and | دقيقة و
142| sec| ثانية
143| + unknown| + غير معروف
144|Total size: |الحجم الإجمالي: 
145|\nTransferred: |\nتم نقل: 
146|\nRemaining: |\nالمتبقي: 
147|Full size is unknown|الحجم الكامل غير معروف
148|\n\nFiles: |\n\nالملفات: 
149| done • | مكتمل • 
150| remaining / | متبقٍ / 
151|\nPhotos: |\nالصور: 
152|\nVideos: |\nالفيديو: 
153|\nApps: |\nالتطبيقات: 
154|\nOther files: |\nالملفات الأخرى: 
155|\n\nAverage speed: |\n\nمتوسط السرعة: 
156|\nEstimated time left: |\nالوقت المتبقي المقدر: 
157|Verifying and saving file…|جارٍ التحقق من الملف وحفظه…
158|%|٪
159|Your data was transferred successfully.|نُقلت بياناتك بنجاح.
160|Transfer stopped at your request.|توقف النقل بناءً على طلبك.
161|The source file changed. Resume was stopped to protect your data.|تغيّر الملف الأصلي. أُوقف الاستئناف لحماية بياناتك.
162|Data access permission was denied. Select the data again.|لم يُمنح إذن الوصول إلى البيانات. حدد البيانات مجددًا.
163|Too many files. Send smaller batches using Files. Limit: 10,000 files per transfer.|عدد الملفات كبير جدًا. أرسلها على دفعات من قسم الملفات. الحد: 10,000 ملف لكل عملية نقل.
164|Receiving was declined or the approval request timed out.|رُفض الاستقبال أو انتهت مهلة الموافقة.
